,name,district
0,حصاربوعلی,1
1,فرمانیه,1
2,رستم آباد ,1
3,اوین,1
4,درکه,1
5,زعفرانیه,1
6,محمودیه,1
7,ولنجک,1
8,امام زاده قاسم (ع),1
9,دربند,1
10,گلابدره,1
11,جماران,1
12,دزاشیب,1
13,نیاوران,1
14,اراج,1
15,کاشانک,1
16,شهرک دانشگاه,1
17,شهرک نفت,1
18,دارآباد,1
19,باغ فردوس,1
20,تجریش,1
21,قیطریه,1
22,چیذر,1
23,حکمت,1
24,ازگل,1
25,سوهانک,1
26,شهید محلاتی,1
27,اتوبان امام علی,1
28,اتوبان صدر,1
29,اقدسیه,1
30,الهیه – فرشته,1
31,اندرزگو,1
32,بلوار ارتش,1
33,پارک وی,1
34,جمشیدیه,1
35,دیباجی,1
36,سعدآباد,1
37,صاحبقرانیه,1
38,فرمانیه,1
39,مقدس اردبیلی,1
40,مینی سیتی,1
41,نوبنیاد,1
42,ولیعصر,1
43,کامرانیه,1
44,بوعلی,2
45,سعادت آباد,2
46,مدیریت,2
47,کوهسار,2
48,پونک,2
49,شهید چوب تراش,2
50,شهید خرم رودی,2
51,صادقیه شمالی شهرک هما,2
52,صادقیه,2
53,شهرآرا,2
54,کوی نصر,2
55,پردیسان,2
56,شهرک آزمایش,2
57,تهران ویلا,2
58,برق آلستوم,2
59,تیموری,2
60,طرشت,2
61,همایونشهر,2
62,توحید,2
63,زنجان,2
64,شادمهر,2
65,ایوانک,2
66,دریا,2
67,شهرک قدس,2
68,آسمانها,2
69,درختی,2
70,فرحزاد,2
71,مخابرات,2
72,پرواز,2
73,آزادی,2
74,اتوبان حکیم,2
75,اتوبان شیخ فضل اله نوری,2
76,اتوبان محمد علی جناح,2
77,اتوبان نیایش,2
78,اتوبان یادگار امام,2
79,بهبودی,2
80,جلال آل احمد,2
81,خوش شمالی,2
82,ستارخان,2
83,شادمان,2
84,شهرک ژاندارمری,2
85,شهرک غرب,2
86,گیشا,2
87,مترو شریف,2
88,مرزداران,2
89,آرارات,3
90,ونک,3
91,امانیه,3
92,زرگنده,3
93,درب دوم,3
94,رستم آباد و اختیاریه,3
95,داودیه,3
96,سید خندان,3
97,دروس,3
98,قبا,3
99,قلهک,3
100,کاوسیه,3
101,اختیاریه,3
102,پاسداران,3
103,جردن,3
104,جلفا,3
105,خواجه عبداله,3
106,دولت,3
107,شیخ بهایی,3
108,شیراز,3
109,ظفر,3
110,ملاصدرا,3
111,میدان کتابی,3
112,میرداماد,3
113,ولیعصر,3
114,کلاهدوز,3
115,مهران,4
116,کاظم آباد,4
117,کوهک,4
118,مجیدیه و شمس آباد,4
119,پاسداران و ضرابخانه,4
120,حسین آباد و مبارک آباد,4
121,شیان و لویزان,4
122,علم و صنعت,4
123,نارمک,4
124,تهرانپارس غربی,4
125,جوادیه,4
126,خاک سفید,4
127,تهرانپارس شرقی,4
128,قاسم آباد و ده نارمک,4
129,اوقاف,4
130,شمیران نو,4
131,حکیمیه,4
132,قنات کوثر,4
133,کوهسار,4
134,مجید آباد,4
135, بابایی,4
136, باقری,4
137,اتوبان صیاد شیرازی,4
138,بنی هاشم,4
139,پلیس,4
140,دلاوران,4
141,رسالت,4
142,سراج,4
143,شمس آباد,4
144,شهدا,4
145,صیاد شیرازی,4
146,علم وصنعت,4
147,فرجام,4
148,لویزان,4
149,میدان ملت,4
150,هروی,4
151,هنگام,4
152,شهران جنوبی,5
153,شهران شمالی,5
154,شهرزیبا,5
155,اندیشه,5
156,بهاران,5
157,کن,5
158,المهدی,5
159,باغ فیض,5
160,پونک جنوبی,5
161,پونک شمالی,5
162,حصارک,5
163,شهرک نفت,5
164,کوهسار,5
165,مرادآباد,5
166,پرواز,5
167,سازمان برنامه جنوبی,5
168,سازمان برنامه شمالی,5
169,ارم,5
170,سازمان آب,5
171,اباذر,5
172,فردوس,5
173,مهران,5
174,اکباتان,5
175,بیمه,5
176,آپادانا,5
177,جنت آباد جنوبی,5
178,جنت آباد شمالی,5
179,جنت آباد مرکزی,5
180,شاهین,5
181,آیت الله کاشانی,5
182,اشرفی اصفهانی,5
183,ایران زمین شمالی,5
184,بلوار تعاون,5
185,بلوار فردوس,5
186,بولیوار,5
187,پونک,5
188,پیامبر,5
189,جنت آباد,5
190,سازمان برنامه,5
191,ستاری,5
192,سردار جنگل,5
193,سولقان,5
194,شهر زیبا,5
195,شهران,5
196, اکباتان,5
197,شهید مهدی باکری,5
198,نجات اللهی,6
199,ایرانشهر,6
200,پارک لاله,6
201,کشاورز غربی,6
